president,subgroup,modeldate,startdate,enddate,pollster,grade,samplesize,population,weight,influence,approve,disapprove,adjusted_approve,adjusted_disapprove,multiversions,tracking,url,poll_id,question_id,createddate,timestamp
Joseph R. Biden Jr.,All polls,2/26/2021,1/29/2021,2/1/2021,Morning Consult,B/C,1986,rv,.0352746,.00152131,58,35,57.807534,37.806812,"","",https://assets.morningconsult.com/wp-uploads/2021/02/03074817/2101110_crosstabs_POLITICO_RVs_v1.pdf,74330,139576,2/3/2021,09:55:05 26 Feb 2021
Joseph R. Biden Jr.,All polls,2/26/2021,1/29/2021,2/1/2021,Morning Consult,B/C,2200,a,.03907559,.00168523,57,33,56.807534,35.806812,"","",https://assets.morningconsult.com/wp-uploads/2021/02/03174029/2101105_crosstabs_MC_FINANCE_Adults_v1.pdf,74375,139762,2/15/2021,09:55:05 26 Feb 2021
Joseph R. Biden Jr.,All polls,2/26/2021,1/30/2021,2/1/2021,Morning Consult,B/C,15000,a,.08880816,.00383008,54,33,53.807534,35.806812,"",T,https://morningconsult.com/form/global-leader-approval/,74331,139647,2/4/2021,09:55:05 26 Feb 2021
Joseph R. Biden Jr.,All polls,2/26/2021,1/31/2021,2/2/2021,Morning Consult,B/C,15000,a,.08854313,.00440554,54,33,53.807534,35.806812,"",T,https://morningconsult.com/form/global-leader-approval/,74341,139648,2/4/2021,09:55:05 26 Feb 2021
Joseph R. Biden Jr.,All polls,2/26/2021,1/31/2021,2/2/2021,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,.12950934,.00671739,51,47,53.593363,40.553693,"",T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74333,139595,2/3/2021,09:55:05 26 Feb 2021
Joseph R. Biden Jr.,All polls,2/26/2021,1/31/2021,2/2/2021,YouGov,B,1500,a,.61275979,.03244015,46,38,47.600765,38.489397,"","",https://docs.cdn.yougov.com/460mactkmh/econTabReport.pdf,74332,139593,2/3/2021,09:55:05 26 Feb 2021
Joseph R. Biden Jr.,All polls,2/26/2021,2/1/2021,2/3/2021,Morning Consult,B/C,15000,a,.08817617,.00497651,54,33,53.807534,35.806812,"",T,https://morningconsult.com/form/global-leader-approval/,74366,139733,2/11/2021,09:55:05 26 Feb 2021
Joseph R. Biden Jr.,All polls,2/26/2021,2/1/2021,2/3/2021,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,.12879066,.00755699,52,46,54.593363,39.553693,"",T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74338,139642,2/4/2021,09:55:05 26 Feb 2021
Joseph R. Biden Jr.,All polls,2/26/2021,2/2/2021,2/4/2021,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,.12808148,.0083956,49,48,51.593363,41.553693,"",T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74347,139654,2/5/2021,09:55:05 26 Feb 2021
Joseph R. Biden Jr.,All polls,2/26/2021,2/2/2021,2/3/2021,Ipsos,B-,1005,a,.73936562,.05320063,57,34,55.877411,34.907959,"","",https://www.ipsos.com/sites/default/files/ct/news/documents/2021-02/2021_reuters_tracking_-_core_political_presidential_approval_tracker_02_04_2021_0.pdf,74345,139652,2/4/2021,09:55:05 26 Feb 2021
Joseph R. Biden Jr.,All polls,2/26/2021,2/2/2021,2/3/2021,Emerson College,A-,1429,a,2.0664979,.19998366,49,39,50.673367,38.393265,"","",https://emersonpolling.reportablenews.com/pr/february-national-poll-america-giving-biden-a-chance-split-on-trump-impeachment,74348,139668,2/5/2021,09:55:05 26 Feb 2021
Joseph R. Biden Jr.,All polls,2/26/2021,2/2/2021,2/4/2021,Morning Consult,B/C,15000,a,.08798945,.00554706,54,34,53.807534,36.806812,"",T,https://morningconsult.com/form/global-leader-approval/,74367,139734,2/11/2021,09:55:05 26 Feb 2021
Joseph R. Biden Jr.,All polls,2/26/2021,2/3/2021,2/5/2021,Morning Consult,B/C,15000,a,.0876804,.0061211,54,34,53.807534,36.806812,"",T,https://morningconsult.com/form/global-leader-approval/,74368,139735,2/11/2021,09:55:05 26 Feb 2021
Joseph R. Biden Jr.,All polls,2/26/2021,2/3/2021,2/7/2021,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,.07582564,.00706107,50,47,52.593363,40.553693,"",T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74349,139669,2/8/2021,09:55:05 26 Feb 2021
Joseph R. Biden Jr.,All polls,2/26/2021,2/4/2021,2/6/2021,Morning Consult,B/C,15000,a,.08709969,.00782002,54,34,53.807534,36.806812,"",T,https://morningconsult.com/form/global-leader-approval/,74369,139736,2/11/2021,09:55:05 26 Feb 2021
Joseph R. Biden Jr.,All polls,2/26/2021,2/4/2021,2/6/2021,RMG Research,B/C,1200,rv,.47083197,.04801857,60,32,58.165768,32.997386,"","",https://scottrasmussen.com/biden-job-approval-60/,74354,139679,2/9/2021,09:55:05 26 Feb 2021
Joseph R. Biden Jr.,All polls,2/26/2021,2/4/2021,2/8/2021,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,.22500189,.02565492,51,46,53.593363,39.553693,"",T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74352,139675,2/9/2021,09:55:05 26 Feb 2021
Joseph R. Biden Jr.,All polls,2/26/2021,2/5/2021,2/7/2021,Morning Consult,B/C,1986,rv,.03442359,.00378162,59,35,58.807534,37.806812,"","",https://assets.morningconsult.com/wp-uploads/2021/02/11080445/210227_crosstabs_POLITICO_RVs_v1_AUTO.pdf,74351,139673,2/8/2021,09:55:05 26 Feb 2021
Joseph R. Biden Jr.,All polls,2/26/2021,2/5/2021,2/7/2021,Morning Consult,B/C,15000,a,.08666563,.00952069,55,33,54.807534,35.806812,"",T,https://morningconsult.com/form/global-leader-approval/,74372,139746,2/11/2021,09:55:05 26 Feb 2021
Joseph R. Biden Jr.,All polls,2/26/2021,2/5/2021,2/8/2021,YouGov,B,2508,a,.87300846,.13117726,61,39,62.600765,39.489397,"","",https://www.cbsnews.com/news/covid-relief-opinion-poll/,74357,139683,2/9/2021,09:55:05 26 Feb 2021
Joseph R. Biden Jr.,All polls,2/26/2021,2/6/2021,2/8/2021,Morning Consult,B/C,15000,a,.0865475,.0112535,55,33,54.807534,35.806812,"",T,https://morningconsult.com/form/global-leader-approval/,74370,139738,2/11/2021,09:55:05 26 Feb 2021
Joseph R. Biden Jr.,All polls,2/26/2021,2/7/2021,2/9/2021,Morning Consult,B/C,15000,a,.08669846,.01302883,55,33,54.807534,35.806812,"",T,https://morningconsult.com/form/global-leader-approval/,74371,139739,2/11/2021,09:55:05 26 Feb 2021
Joseph R. Biden Jr.,All polls,2/26/2021,2/6/2021,2/9/2021,YouGov,B,1500,a,.52678393,.09061259,50,37,51.600765,37.489397,"","",https://docs.cdn.yougov.com/rqqxdo2ujy/econTabReport.pdf,74360,139697,2/10/2021,09:55:05 26 Feb 2021
Joseph R. Biden Jr.,All polls,2/26/2021,2/7/2021,2/9/2021,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,.12446401,.01930457,51,47,53.593363,40.553693,"",T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74359,139696,2/10/2021,09:55:05 26 Feb 2021
Joseph R. Biden Jr.,All polls,2/26/2021,2/8/2021,2/9/2021,HarrisX,C,938,rv,.36446883,.07138137,60,40,56.913106,38.45981,"","",https://thehill.com/hilltv/what-americas-thinking/538612-what-americas-thinking-february-12-2021,74374,139761,2/12/2021,09:55:05 26 Feb 2021
Joseph R. Biden Jr.,All polls,2/26/2021,2/8/2021,2/10/2021,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,.12495871,.02188636,50,47,52.593363,40.553693,"",T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74362,139720,2/11/2021,09:55:05 26 Feb 2021
Joseph R. Biden Jr.,All polls,2/26/2021,2/8/2021,2/10/2021,Morning Consult,B/C,15000,a,.08684966,.01486598,55,33,54.807534,35.806812,"",T,https://morningconsult.com/form/global-leader-approval/,74389,139832,2/18/2021,09:55:05 26 Feb 2021
Joseph R. Biden Jr.,All polls,2/26/2021,2/9/2021,2/10/2021,Ipsos,B-,1001,a,.67932047,.15074007,57,35,55.877411,35.907959,"","",https://www.ipsos.com/en-us/reutersipsos-core-political-survey-presidential-approval-tracker-02102021,74361,139719,2/10/2021,09:55:05 26 Feb 2021
Joseph R. Biden Jr.,All polls,2/26/2021,2/9/2021,2/11/2021,Morning Consult,B/C,15000,a,.08734042,.01678611,55,33,54.807534,35.806812,"",T,https://morningconsult.com/form/global-leader-approval/,74390,139833,2/18/2021,09:55:05 26 Feb 2021
Joseph R. Biden Jr.,All polls,2/26/2021,2/9/2021,2/11/2021,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,.12550233,.02456779,52,45,54.593363,38.553693,"",T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74373,139760,2/12/2021,09:55:05 26 Feb 2021
Joseph R. Biden Jr.,All polls,2/26/2021,2/10/2021,2/12/2021,Morning Consult,B/C,15000,a,.08780995,.01879535,55,33,54.807534,35.806812,"",T,https://morningconsult.com/form/global-leader-approval/,74391,139834,2/18/2021,09:55:05 26 Feb 2021
Joseph R. Biden Jr.,All polls,2/26/2021,2/3/2021,2/18/2021,Gallup,B,1021,a,1.2555413,.34876414,56,40,55.166725,39.194619,"","",https://news.gallup.com/poll/329948/biden-gets-high-marks-covid-response.aspx,74402,139858,2/22/2021,09:55:05 26 Feb 2021
Joseph R. Biden Jr.,All polls,2/26/2021,2/7/2021,2/14/2021,Saint Leo University,C/D,1000,a,.5479127,.16103527,60.9,32.3,59.056458,34.005215,"","",https://polls.saintleo.edu/new-saint-leo-polling-survey-shows-six-out-of-10-americans-like-bidens-job-performance-so-far/,74408,139905,2/24/2021,09:55:05 26 Feb 2021
Joseph R. Biden Jr.,All polls,2/26/2021,2/10/2021,2/14/2021,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,.07597504,.01811257,53,43,55.593363,36.553693,"",T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74379,139766,2/15/2021,09:55:05 26 Feb 2021
Joseph R. Biden Jr.,All polls,2/26/2021,2/11/2021,2/13/2021,RMG Research,B/C,1200,rv,.49189831,.12978864,57,35,55.165768,35.997386,"","",https://scottrasmussen.com/biden-job-approval-rating-at-56/,74411,139908,2/24/2021,09:55:05 26 Feb 2021
Joseph R. Biden Jr.,All polls,2/26/2021,2/11/2021,2/13/2021,Morning Consult,B/C,15000,a,.08747741,.0209028,55,34,54.807534,36.806812,"",T,https://morningconsult.com/form/global-leader-approval/,74392,139835,2/18/2021,09:55:05 26 Feb 2021
Joseph R. Biden Jr.,All polls,2/26/2021,2/11/2021,2/15/2021,Global Strategy Group/GBAO (Navigator Research),"",1067,rv,.73809772,.23320521,56,38,55.887838,37.442533,"","",https://navigatorresearch.org/wp-content/uploads/2021/02/Navigator-Toplines-02.16.2021.pdf,74383,139794,2/17/2021,09:55:05 26 Feb 2021
Joseph R. Biden Jr.,All polls,2/26/2021,2/11/2021,2/14/2021,Quinnipiac University,B+,1056,a,1.4464966,.47500006,50,38,51.838542,38.013518,"","",https://poll.qu.edu/national/release-detail?ReleaseID=3692,74387,139830,2/17/2021,09:55:05 26 Feb 2021
Joseph R. Biden Jr.,All polls,2/26/2021,2/11/2021,2/15/2021,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,.22785463,.05962322,53,44,55.593363,37.553693,"",T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74381,139772,2/16/2021,09:55:05 26 Feb 2021
Joseph R. Biden Jr.,All polls,2/26/2021,2/12/2021,2/14/2021,Morning Consult,B/C,15000,a,.08761898,.02313403,54,34,53.807534,36.806812,"",T,https://morningconsult.com/form/global-leader-approval/,74393,139836,2/18/2021,09:55:05 26 Feb 2021
Joseph R. Biden Jr.,All polls,2/26/2021,2/12/2021,2/15/2021,Morning Consult,B/C,2200,a,.03881544,.01122525,56,34,55.807534,36.806812,"","",https://assets.morningconsult.com/wp-uploads/2021/02/24152659/210264_crosstabs_MC_TECH_SPACE_Adults_v1_AUTO.pdf,74415,139933,2/25/2021,09:55:05 26 Feb 2021
Joseph R. Biden Jr.,All polls,2/26/2021,2/12/2021,2/15/2021,Morning Consult,B/C,1987,rv,.0350574,.01013844,56,38,55.807534,40.806812,"","",https://www.politico.com/f/?id=00000177-abaf-d644-a377-efbf5b3e0000,74384,139795,2/17/2021,09:55:05 26 Feb 2021
Joseph R. Biden Jr.,All polls,2/26/2021,2/12/2021,2/15/2021,HarrisX,C,2835,rv,.96153827,.32550763,59,41,55.913106,39.45981,"","",https://thehill.com/hilltv/what-americas-thinking/539464-what-americas-thinking-february-19-2021,74398,139853,2/19/2021,09:55:05 26 Feb 2021
Joseph R. Biden Jr.,All polls,2/26/2021,2/13/2021,2/15/2021,Morning Consult,B/C,15000,a,.0882169,.02551192,54,34,53.807534,36.806812,"",T,https://morningconsult.com/form/global-leader-approval/,74394,139837,2/18/2021,09:55:05 26 Feb 2021
Joseph R. Biden Jr.,All polls,2/26/2021,2/14/2021,2/16/2021,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,.1263498,.04499329,50,47,52.593363,40.553693,"",T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74385,139810,2/17/2021,09:55:05 26 Feb 2021
Joseph R. Biden Jr.,All polls,2/26/2021,2/13/2021,2/16/2021,YouGov,B,1500,a,.59234497,.21706553,54,37,55.600765,37.489397,"","",https://docs.cdn.yougov.com/3at75tb28w/econTabReport.pdf,74386,139811,2/17/2021,09:55:05 26 Feb 2021
Joseph R. Biden Jr.,All polls,2/26/2021,2/14/2021,2/15/2021,Morning Consult,B/C,1984,rv,.03565925,.01268273,62,33,61.807534,35.806812,"","",https://www.politico.com/f/?id=00000177-a857-d644-a377-eedf501c0000,74380,139771,2/16/2021,09:55:05 26 Feb 2021
Joseph R. Biden Jr.,All polls,2/26/2021,2/14/2021,2/16/2021,Morning Consult,B/C,15000,a,.08986706,.03196253,54,34,53.807534,36.806812,"",T,https://morningconsult.com/form/global-leader-approval/,74395,139838,2/18/2021,09:55:05 26 Feb 2021
Joseph R. Biden Jr.,All polls,2/26/2021,2/12/2021,2/18/2021,Echelon Insights,"",1005,rv,.80068767,.33512729,51,42,51.333417,41.258031,"","",https://echeloninsights.com/in-the-news/february-omnibus-political-update/,74400,139859,2/22/2021,09:55:05 26 Feb 2021
Joseph R. Biden Jr.,All polls,2/26/2021,2/15/2021,2/17/2021,Morning Consult,B/C,15000,a,.09235039,.03886122,54,35,53.807534,37.806812,"",T,https://morningconsult.com/form/global-leader-approval/,74417,139936,2/25/2021,09:55:05 26 Feb 2021
Joseph R. Biden Jr.,All polls,2/26/2021,2/15/2021,2/17/2021,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,.12728909,.05385515,50,48,52.593363,41.553693,"",T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74388,139831,2/18/2021,09:55:05 26 Feb 2021
